config_id,asset,lookback_days,lag_days,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg00_lb126_lag63_k0.5_mn0.25,SP500,126,63,0.5,0.25,85.27218650130024,0.15309465730580332,85.27722344483453,0.1530965091120862,False,85.14415049797995,0.15233513073185137,85.14917987853534,0.15233705290993851,False
cfg00_lb126_lag63_k0.5_mn0.25,GOLD,126,63,0.5,0.25,2.2314111586231937,0.5049729970135485,2.2312322553607693,0.5049170813430391,True,2.2280621780531975,0.5019597825085088,2.227883543414292,0.5019039393179513,True
cfg00_lb126_lag63_k0.5_mn0.25,SILVER,126,63,0.5,0.25,1.686741577720402,0.3196775024319695,1.686659698183187,0.3196772758715409,True,1.6842104193439589,0.3179095130772801,1.6841286627489933,0.31790937005101605,True
cfg00_lb126_lag63_k0.5_mn0.25,BTC,126,63,0.5,0.25,9.853168997881104,1.0672518188334297,9.855679074865842,1.0673092354078406,False,9.838379870419281,1.0651916845667189,9.84088617851966,1.0652491717139174,False
cfg00_lb126_lag63_k0.5_mn0.25,OIL,126,63,0.5,0.25,1.1803204552997255,0.2278960123781839,1.1798550873762443,0.22782375575083372,True,1.1785496875285306,0.22636277371995145,1.1780850183556857,0.2262905906561879,True
cfg01_lb126_lag63_k0.5_mn0.5,SP500,126,63,0.5,0.5,85.27218650130024,0.15309465730580332,85.27722344483453,0.1530965091120862,False,85.14415049797995,0.15233513073185137,85.14917987853534,0.15233705290993851,False
cfg01_lb126_lag63_k0.5_mn0.5,GOLD,126,63,0.5,0.5,2.2314111586231937,0.5049729970135485,2.2312322553607693,0.5049170813430391,True,2.2280621780531975,0.5019597825085088,2.227883543414292,0.5019039393179513,True
cfg01_lb126_lag63_k0.5_mn0.5,SILVER,126,63,0.5,0.5,1.686741577720402,0.3196775024319695,1.686659698183187,0.3196772758715409,True,1.6842104193439589,0.3179095130772801,1.6841286627489933,0.31790937005101605,True
cfg01_lb126_lag63_k0.5_mn0.5,BTC,126,63,0.5,0.5,9.853168997881104,1.0672518188334297,9.855679074865842,1.0673092354078406,False,9.838379870419281,1.0651916845667189,9.84088617851966,1.0652491717139174,False
cfg01_lb126_lag63_k0.5_mn0.5,OIL,126,63,0.5,0.5,1.1803204552997255,0.2278960123781839,1.1798550873762443,0.22782375575083372,True,1.1785496875285306,0.22636277371995145,1.1780850183556857,0.2262905906561879,True
cfg02_lb126_lag63_k1.0_mn0.25,SP500,126,63,1.0,0.25,85.25238138150772,0.15301800048750896,85.27722344483453,0.1530965091120862,False,85.124375115605,0.15225830789577,85.14917987853534,0.15233705290993851,False
cfg02_lb126_lag63_k1.0_mn0.25,GOLD,126,63,1.0,0.25,2.231301584250928,0.504932718600206,2.2312322553607693,0.5049170813430391,True,2.227953511770203,0.5019192722319418,2.227883543414292,0.5019039393179513,True
cfg02_lb126_lag63_k1.0_mn0.25,SILVER,126,63,1.0,0.25,1.6867071567662808,0.3196748390352868,1.686659698183187,0.3196772758715409,False,1.6841760500729497,0.31790672083572397,1.6841286627489933,0.31790937005101605,False
cfg02_lb126_lag63_k1.0_mn0.25,BTC,126,63,1.0,0.25,9.851736890206599,1.067229620306778,9.855679074865842,1.0673092354078406,False,9.836949913056582,1.0651694146606667,9.84088617851966,1.0652491717139174,False
cfg02_lb126_lag63_k1.0_mn0.25,OIL,126,63,1.0,0.25,1.1807871589068744,0.2279803933952065,1.1798550873762443,0.22782375575083372,True,1.179015690379513,0.22644707183340915,1.1780850183556857,0.2262905906561879,True
cfg03_lb126_lag63_k1.0_mn0.5,SP500,126,63,1.0,0.5,85.2721261209783,0.1531019457498933,85.27722344483453,0.1530965091120862,False,85.14409020831934,0.1523424144578307,85.14917987853534,0.15233705290993851,False
cfg03_lb126_lag63_k1.0_mn0.5,GOLD,126,63,1.0,0.5,2.2314074212792208,0.5049778853232156,2.2312322553607693,0.5049170813430391,True,2.228058446364804,0.5019646374945343,2.227883543414292,0.5019039393179513,True
cfg03_lb126_lag63_k1.0_mn0.5,SILVER,126,63,1.0,0.5,1.6867593585960547,0.31968240054273234,1.686659698183187,0.3196772758715409,True,1.6842281735215963,0.31791439050882997,1.6841286627489933,0.31790937005101605,True
cfg03_lb126_lag63_k1.0_mn0.5,BTC,126,63,1.0,0.5,9.852977988343287,1.0672528246450306,9.855679074865842,1.0673092354078406,False,9.838189147682566,1.0651926773498264,9.84088617851966,1.0652491717139174,False
cfg03_lb126_lag63_k1.0_mn0.5,OIL,126,63,1.0,0.5,1.1804978502799595,0.22790890907217287,1.1798550873762443,0.22782375575083372,True,1.1787268161499356,0.22637560973726192,1.1780850183556857,0.2262905906561879,True
cfg04_lb126_lag63_k1.5_mn0.25,SP500,126,63,1.5,0.25,85.24800359150179,0.15300756792210737,85.27722344483453,0.1530965091120862,False,85.12000389885729,0.152247829663115,85.14917987853534,0.15233705290993851,False
cfg04_lb126_lag63_k1.5_mn0.25,GOLD,126,63,1.5,0.25,2.231465117758788,0.5049764562919585,2.2312322553607693,0.5049170813430391,True,2.2281167997322524,0.5019629172177534,2.227883543414292,0.5019039393179513,True
cfg04_lb126_lag63_k1.5_mn0.25,SILVER,126,63,1.5,0.25,1.6864535057495473,0.3196178971441893,1.686659698183187,0.3196772758715409,False,1.6839227799136032,0.3178496809761221,1.6841286627489933,0.31790937005101605,False
cfg04_lb126_lag63_k1.5_mn0.25,BTC,126,63,1.5,0.25,9.851345950369423,1.0672248933171147,9.855679074865842,1.0673092354078406,False,9.836559560216157,1.0651646572880056,9.84088617851966,1.0652491717139174,False
cfg04_lb126_lag63_k1.5_mn0.25,OIL,126,63,1.5,0.25,1.180928541397003,0.22799606506352632,1.1798550873762443,0.22782375575083372,True,1.1791568605836216,0.22646265190019224,1.1780850183556857,0.2262905906561879,True
cfg05_lb126_lag63_k1.5_mn0.5,SP500,126,63,1.5,0.5,85.27326569251412,0.15310480374610463,85.27722344483453,0.1530965091120862,False,85.14522806878655,0.15234527281683785,85.14917987853534,0.15233705290993851,False
cfg05_lb126_lag63_k1.5_mn0.5,GOLD,126,63,1.5,0.5,2.231385222754016,0.5049696663508574,2.2312322553607693,0.5049170813430391,True,2.22803628117072,0.5019564050949097,2.227883543414292,0.5019039393179513,True
cfg05_lb126_lag63_k1.5_mn0.5,SILVER,126,63,1.5,0.5,1.6867882920470552,0.31968789276912474,1.686659698183187,0.3196772758715409,True,1.684257063528982,0.3179198784279546,1.6841286627489933,0.31790937005101605,True
cfg05_lb126_lag63_k1.5_mn0.5,BTC,126,63,1.5,0.5,9.852575040776124,1.0672431309669197,9.855679074865842,1.0673092354078406,False,9.837786805141782,1.0651829750333615,9.84088617851966,1.0652491717139174,False
cfg05_lb126_lag63_k1.5_mn0.5,OIL,126,63,1.5,0.5,1.1805492885511237,0.2279065413445027,1.1798550873762443,0.22782375575083372,True,1.1787781771864576,0.2263732085346323,1.1780850183556857,0.2262905906561879,True
cfg06_lb126_lag126_k0.5_mn0.25,SP500,126,126,0.5,0.25,85.26846550787688,0.15302620997261654,85.27722344483453,0.1530965091120862,False,85.14043509163356,0.1522666201919287,85.14917987853534,0.15233705290993851,False
cfg06_lb126_lag126_k0.5_mn0.25,GOLD,126,126,0.5,0.25,2.231363092921872,0.5049367454265196,2.2312322553607693,0.5049170813430391,True,2.228014184522605,0.501923481424614,2.227883543414292,0.5019039393179513,True
cfg06_lb126_lag126_k0.5_mn0.25,SILVER,126,126,0.5,0.25,1.6866087556309266,0.31964660891548413,1.686659698183187,0.3196772758715409,False,1.6840777966870526,0.3178785855591244,1.6841286627489933,0.31790937005101605,False
cfg06_lb126_lag126_k0.5_mn0.25,BTC,126,126,0.5,0.25,9.852743693392986,1.0672322295163719,9.855679074865842,1.0673092354078406,False,9.837955204526493,1.0651720958709627,9.84088617851966,1.0652491717139174,False
cfg06_lb126_lag126_k0.5_mn0.25,OIL,126,126,0.5,0.25,1.1803462498614536,0.22789282413536827,1.1798550873762443,0.22782375575083372,True,1.1785754433596831,0.2263595516899606,1.1780850183556857,0.2262905906561879,True
cfg07_lb126_lag126_k0.5_mn0.5,SP500,126,126,0.5,0.5,85.26846550787688,0.15302620997261654,85.27722344483453,0.1530965091120862,False,85.14043509163356,0.1522666201919287,85.14917987853534,0.15233705290993851,False
cfg07_lb126_lag126_k0.5_mn0.5,GOLD,126,126,0.5,0.5,2.231363092921872,0.5049367454265196,2.2312322553607693,0.5049170813430391,True,2.228014184522605,0.501923481424614,2.227883543414292,0.5019039393179513,True
cfg07_lb126_lag126_k0.5_mn0.5,SILVER,126,126,0.5,0.5,1.6866087556309266,0.31964660891548413,1.686659698183187,0.3196772758715409,False,1.6840777966870526,0.3178785855591244,1.6841286627489933,0.31790937005101605,False
cfg07_lb126_lag126_k0.5_mn0.5,BTC,126,126,0.5,0.5,9.852743693392986,1.0672322295163719,9.855679074865842,1.0673092354078406,False,9.837955204526493,1.0651720958709627,9.84088617851966,1.0652491717139174,False
cfg07_lb126_lag126_k0.5_mn0.5,OIL,126,126,0.5,0.5,1.1803462498614536,0.22789282413536827,1.1798550873762443,0.22782375575083372,True,1.1785754433596831,0.2263595516899606,1.1780850183556857,0.2262905906561879,True
cfg08_lb126_lag126_k1.0_mn0.25,SP500,126,126,1.0,0.25,85.24831913435112,0.15292641901126466,85.27722344483453,0.1530965091120862,False,85.12031907342566,0.1521666337490013,85.14917987853534,0.15233705290993851,False
cfg08_lb126_lag126_k1.0_mn0.25,GOLD,126,126,1.0,0.25,2.231512498419907,0.5049815107591107,2.2312322553607693,0.5049170813430391,True,2.2281641092512388,0.5019681356094249,2.227883543414292,0.5019039393179513,True
cfg08_lb126_lag126_k1.0_mn0.25,SILVER,126,126,1.0,0.25,1.6862062630166361,0.3195403191700016,1.686659698183187,0.3196772758715409,False,1.683675908416033,0.3177720641562541,1.6841286627489933,0.31790937005101605,False
cfg08_lb126_lag126_k1.0_mn0.25,BTC,126,126,1.0,0.25,9.84913459537446,1.0671349310098666,9.855679074865842,1.0673092354078406,False,9.83435152557404,1.06507470182242,9.84088617851966,1.0652491717139174,False
cfg08_lb126_lag126_k1.0_mn0.25,OIL,126,126,1.0,0.25,1.1810335906600138,0.2280407069721712,1.1798550873762443,0.22782375575083372,True,1.1792618700382573,0.2265073607842684,1.1780850183556857,0.2262905906561879,True
cfg09_lb126_lag126_k1.0_mn0.5,SP500,126,126,1.0,0.5,85.2681908859438,0.15301969104373747,85.27722344483453,0.1530965091120862,False,85.14016088205494,0.15226007259256774,85.14917987853534,0.15233705290993851,False
cfg09_lb126_lag126_k1.0_mn0.5,GOLD,126,126,1.0,0.5,2.231478818725731,0.5049727838604028,2.2312322553607693,0.5049170813430391,True,2.2281297366079382,0.5019595014623589,2.227883543414292,0.5019039393179513,True
cfg09_lb126_lag126_k1.0_mn0.5,SILVER,126,126,1.0,0.5,1.6866964001932958,0.31966104979689036,1.686659698183187,0.3196772758715409,False,1.6841653096509865,0.3178930123940068,1.6841286627489933,0.31790937005101605,False
cfg09_lb126_lag126_k1.0_mn0.5,BTC,126,126,1.0,0.5,9.851085738630456,1.0671881581998035,9.855679074865842,1.0673092354078406,False,9.836299739185513,1.0651279905369668,9.84088617851966,1.0652491717139174,False
cfg09_lb126_lag126_k1.0_mn0.5,OIL,126,126,1.0,0.5,1.1805663740209669,0.2279426456586003,1.1798550873762443,0.22782375575083372,True,1.1787952370463497,0.22640937589392993,1.1780850183556857,0.2262905906561879,True
cfg10_lb126_lag126_k1.5_mn0.25,SP500,126,126,1.5,0.25,85.24754815339767,0.15293273218745382,85.27722344483453,0.1530965091120862,False,85.11954930101942,0.1521729280808519,85.14917987853534,0.15233705290993851,False
cfg10_lb126_lag126_k1.5_mn0.25,GOLD,126,126,1.5,0.25,2.231613413449463,0.5050174637591728,2.2312322553607693,0.5049170813430391,True,2.2282648727567267,0.5020040339538755,2.227883543414292,0.5019039393179513,True
cfg10_lb126_lag126_k1.5_mn0.25,SILVER,126,126,1.5,0.25,1.686126291991243,0.3195269689514795,1.686659698183187,0.3196772758715409,False,1.6835960574672508,0.3177586704382948,1.6841286627489933,0.31790937005101605,False
cfg10_lb126_lag126_k1.5_mn0.25,BTC,126,126,1.5,0.25,9.846479710009076,1.0670648772975466,9.855679074865842,1.0673092354078406,False,9.831700626675659,1.0650046186185027,9.84088617851966,1.0652491717139174,False
cfg10_lb126_lag126_k1.5_mn0.25,OIL,126,126,1.5,0.25,1.1811064729526133,0.22805233973695463,1.1798550873762443,0.22782375575083372,True,1.179335267667292,0.22651901300991484,1.1780850183556857,0.2262905906561879,True
cfg11_lb126_lag126_k1.5_mn0.5,SP500,126,126,1.5,0.5,85.26720937166485,0.15301880220808867,85.27722344483453,0.1530965091120862,False,85.13918084152125,0.15225917819367765,85.14917987853534,0.15233705290993851,False
cfg11_lb126_lag126_k1.5_mn0.5,GOLD,126,126,1.5,0.5,2.231495923433953,0.5049811225666644,2.2312322553607693,0.5049170813430391,True,2.228146815633422,0.5019678313209435,2.227883543414292,0.5019039393179513,True
cfg11_lb126_lag126_k1.5_mn0.5,SILVER,126,126,1.5,0.5,1.6867324577440705,0.3196672745389645,1.686659698183187,0.3196772758715409,False,1.6842013130612918,0.31789923358294647,1.6841286627489933,0.31790937005101605,False
cfg11_lb126_lag126_k1.5_mn0.5,BTC,126,126,1.5,0.5,9.850625000868979,1.067175549568945,9.855679074865842,1.0673092354078406,False,9.835839693222482,1.0651153723931426,9.84088617851966,1.0652491717139174,False
cfg11_lb126_lag126_k1.5_mn0.5,OIL,126,126,1.5,0.5,1.1806329227148187,0.2279643648121173,1.1798550873762443,0.22782375575083372,True,1.1788616858172376,0.22643110052747517,1.1780850183556857,0.2262905906561879,True
cfg12_lb252_lag63_k0.5_mn0.25,SP500,252,63,0.5,0.25,85.27223680023062,0.15307341831116364,85.27722344483453,0.1530965091120862,False,85.14420072138597,0.1523138946630076,85.14917987853534,0.15233705290993851,False
cfg12_lb252_lag63_k0.5_mn0.25,GOLD,252,63,0.5,0.25,2.231236399602144,0.5049158645151729,2.2312322553607693,0.5049170813430391,False,2.227887681433088,0.5019026357767695,2.227883543414292,0.5019039393179513,False
cfg12_lb252_lag63_k0.5_mn0.25,SILVER,252,63,0.5,0.25,1.6867403851210767,0.31968816176965675,1.686659698183187,0.3196772758715409,True,1.68420922853532,0.3179201936486228,1.6841286627489933,0.31790937005101605,True
cfg12_lb252_lag63_k0.5_mn0.25,BTC,252,63,0.5,0.25,9.854421332025398,1.0672864044334422,9.855679074865842,1.0673092354078406,False,9.839630324181973,1.0652262925132154,9.84088617851966,1.0652491717139174,False
cfg12_lb252_lag63_k0.5_mn0.25,OIL,252,63,0.5,0.25,1.1801235011025812,0.2278649267201954,1.1798550873762443,0.22782375575083372,True,1.178353029058409,0.22633167645770993,1.1780850183556857,0.2262905906561879,True
cfg13_lb252_lag63_k0.5_mn0.5,SP500,252,63,0.5,0.5,85.27223680023062,0.15307341831116364,85.27722344483453,0.1530965091120862,False,85.14420072138597,0.1523138946630076,85.14917987853534,0.15233705290993851,False
cfg13_lb252_lag63_k0.5_mn0.5,GOLD,252,63,0.5,0.5,2.231236399602144,0.5049158645151729,2.2312322553607693,0.5049170813430391,False,2.227887681433088,0.5019026357767695,2.227883543414292,0.5019039393179513,False
cfg13_lb252_lag63_k0.5_mn0.5,SILVER,252,63,0.5,0.5,1.6867403851210767,0.31968816176965675,1.686659698183187,0.3196772758715409,True,1.68420922853532,0.3179201936486228,1.6841286627489933,0.31790937005101605,True
cfg13_lb252_lag63_k0.5_mn0.5,BTC,252,63,0.5,0.5,9.854421332025398,1.0672864044334422,9.855679074865842,1.0673092354078406,False,9.839630324181973,1.0652262925132154,9.84088617851966,1.0652491717139174,False
cfg13_lb252_lag63_k0.5_mn0.5,OIL,252,63,0.5,0.5,1.1801235011025812,0.2278649267201954,1.1798550873762443,0.22782375575083372,True,1.178353029058409,0.22633167645770993,1.1780850183556857,0.2262905906561879,True
cfg14_lb252_lag63_k1.0_mn0.25,SP500,252,63,1.0,0.25,85.26607476723444,0.15306008727134476,85.27722344483453,0.1530965091120862,False,85.13804794069264,0.15230050088558608,85.14917987853534,0.15233705290993851,False
cfg14_lb252_lag63_k1.0_mn0.25,GOLD,252,63,1.0,0.25,2.2312716700617035,0.5049356538492344,2.2312322553607693,0.5049170813430391,True,2.2279236424971884,0.5019222949413744,2.227883543414292,0.5019039393179513,True
cfg14_lb252_lag63_k1.0_mn0.25,SILVER,252,63,1.0,0.25,1.6867243103603544,0.3196760183456457,1.686659698183187,0.3196772758715409,False,1.684193543756353,0.31790794062713523,1.6841286627489933,0.31790937005101605,False
cfg14_lb252_lag63_k1.0_mn0.25,BTC,252,63,1.0,0.25,9.85376343733261,1.0672807544307836,9.855679074865842,1.0673092354078406,False,9.83897612801282,1.06522064846108,9.84088617851966,1.0652491717139174,False
cfg14_lb252_lag63_k1.0_mn0.25,OIL,252,63,1.0,0.25,1.1805614972331375,0.22797189357838635,1.1798550873762443,0.22782375575083372,True,1.178790367537116,0.22643856223940473,1.1780850183556857,0.2262905906561879,True
cfg15_lb252_lag63_k1.0_mn0.5,SP500,252,63,1.0,0.5,85.27481886267137,0.15309493439613112,85.27722344483453,0.1530965091120862,False,85.14677890685644,0.15233542900066058,85.14917987853534,0.15233705290993851,False
cfg15_lb252_lag63_k1.0_mn0.5,GOLD,252,63,1.0,0.5,2.231256174222539,0.5049167471183792,2.2312322553607693,0.5049170813430391,False,2.2279074264058143,0.5019034727717633,2.227883543414292,0.5019039393179513,False
cfg15_lb252_lag63_k1.0_mn0.5,SILVER,252,63,1.0,0.5,1.6868414328671566,0.319699562099206,1.686659698183187,0.3196772758715409,True,1.6843101246020162,0.31793156446388826,1.6841286627489933,0.31790937005101605,True
cfg15_lb252_lag63_k1.0_mn0.5,BTC,252,63,1.0,0.5,9.853252611997661,1.0672580988853255,9.855679074865842,1.0673092354078406,False,9.838463359149378,1.0651979672072691,9.84088617851966,1.0652491717139174,False
cfg15_lb252_lag63_k1.0_mn0.5,OIL,252,63,1.0,0.5,1.1801223364064801,0.22785381007606412,1.1798550873762443,0.22782375575083372,True,1.1783518661111014,0.22632051440870554,1.1780850183556857,0.2262905906561879,True
cfg16_lb252_lag63_k1.5_mn0.25,SP500,252,63,1.5,0.25,85.26691365730697,0.15307001073658305,85.27722344483453,0.1530965091120862,False,85.13888557117016,0.15231041675983514,85.14917987853534,0.15233705290993851,False
cfg16_lb252_lag63_k1.5_mn0.25,GOLD,252,63,1.5,0.25,2.231191873310293,0.5049221462652193,2.2312322553607693,0.5049170813430391,False,2.227843965560721,0.5019087026390143,2.227883543414292,0.5019039393179513,False
cfg16_lb252_lag63_k1.5_mn0.25,SILVER,252,63,1.5,0.25,1.6867188872432477,0.3196745754093796,1.686659698183187,0.3196772758715409,False,1.6841885064997786,0.3179064940948932,1.6841286627489933,0.31790937005101605,False
cfg16_lb252_lag63_k1.5_mn0.25,BTC,252,63,1.5,0.25,9.852243360718283,1.0672392547491016,9.855679074865842,1.0673092354078406,False,9.83745833379582,1.065179130383731,9.84088617851966,1.0652491717139174,False
cfg16_lb252_lag63_k1.5_mn0.25,OIL,252,63,1.5,0.25,1.1806561677108203,0.2279907963115085,1.1798550873762443,0.22782375575083372,True,1.1788848958669387,0.2264574207069944,1.1780850183556857,0.2262905906561879,True
cfg17_lb252_lag63_k1.5_mn0.5,SP500,252,63,1.5,0.5,85.27776436952632,0.15311348410958786,85.27722344483453,0.1530965091120862,True,85.14971999102855,0.152353996197438,85.14917987853534,0.15233705290993851,True
cfg17_lb252_lag63_k1.5_mn0.5,GOLD,252,63,1.5,0.5,2.231236445083083,0.5049106875816075,2.2312322553607693,0.5049170813430391,False,2.2278877268896897,0.5018973979025747,2.227883543414292,0.5019039393179513,False
cfg17_lb252_lag63_k1.5_mn0.5,SILVER,252,63,1.5,0.5,1.6868250230191226,0.3196933189751196,1.686659698183187,0.3196772758715409,True,1.6842937393933926,0.31792530639145866,1.6841286627489933,0.31790937005101605,True
cfg17_lb252_lag63_k1.5_mn0.5,BTC,252,63,1.5,0.5,9.853037104936261,1.0672527428870737,9.855679074865842,1.0673092354078406,False,9.83824817567215,1.0651926093607782,9.84088617851966,1.0652491717139174,False
cfg17_lb252_lag63_k1.5_mn0.5,OIL,252,63,1.5,0.5,1.1801439621677456,0.2278562100469238,1.1798550873762443,0.22782375575083372,True,1.1783734594012534,0.22632290303363006,1.1780850183556857,0.2262905906561879,True
cfg18_lb252_lag126_k0.5_mn0.25,SP500,252,126,0.5,0.25,85.2652950989543,0.15305197299710707,85.27722344483453,0.1530965091120862,False,85.13726944308432,0.1522924388492469,85.14917987853534,0.15233705290993851,False
cfg18_lb252_lag126_k0.5_mn0.25,GOLD,252,126,0.5,0.25,2.2313189128013025,0.5049309451143369,2.2312322553607693,0.5049170813430391,True,2.2279700707385484,0.5019176988893379,2.227883543414292,0.5019039393179513,True
cfg18_lb252_lag126_k0.5_mn0.25,SILVER,252,126,0.5,0.25,1.6867857283848575,0.3196992442072902,1.686659698183187,0.3196772758715409,True,1.6842545037161305,0.31793128490667777,1.6841286627489933,0.31790937005101605,True
cfg18_lb252_lag126_k0.5_mn0.25,BTC,252,126,0.5,0.25,9.85557324268296,1.0673086805027234,9.855679074865842,1.0673092354078406,False,9.840780505243949,1.0652486019785523,9.84088617851966,1.0652491717139174,False
cfg18_lb252_lag126_k0.5_mn0.25,OIL,252,126,0.5,0.25,1.180264358996109,0.22787633665252255,1.1798550873762443,0.22782375575083372,True,1.1784936754535975,0.2263430784869658,1.1780850183556857,0.2262905906561879,True
cfg19_lb252_lag126_k0.5_mn0.5,SP500,252,126,0.5,0.5,85.2652950989543,0.15305197299710707,85.27722344483453,0.1530965091120862,False,85.13726944308432,0.1522924388492469,85.14917987853534,0.15233705290993851,False
cfg19_lb252_lag126_k0.5_mn0.5,GOLD,252,126,0.5,0.5,2.2313189128013025,0.5049309451143369,2.2312322553607693,0.5049170813430391,True,2.2279700707385484,0.5019176988893379,2.227883543414292,0.5019039393179513,True
cfg19_lb252_lag126_k0.5_mn0.5,SILVER,252,126,0.5,0.5,1.6867857283848575,0.3196992442072902,1.686659698183187,0.3196772758715409,True,1.6842545037161305,0.31793128490667777,1.6841286627489933,0.31790937005101605,True
cfg19_lb252_lag126_k0.5_mn0.5,BTC,252,126,0.5,0.5,9.85557324268296,1.0673086805027234,9.855679074865842,1.0673092354078406,False,9.840780505243949,1.0652486019785523,9.84088617851966,1.0652491717139174,False
cfg19_lb252_lag126_k0.5_mn0.5,OIL,252,126,0.5,0.5,1.180264358996109,0.22787633665252255,1.1798550873762443,0.22782375575083372,True,1.1784936754535975,0.2263430784869658,1.1780850183556857,0.2262905906561879,True
cfg20_lb252_lag126_k1.0_mn0.25,SP500,252,126,1.0,0.25,85.23300788097013,0.15291773967983127,85.27722344483453,0.1530965091120862,False,85.10503070440733,0.15215797361956943,85.14917987853534,0.15233705290993851,False
cfg20_lb252_lag126_k1.0_mn0.25,GOLD,252,126,1.0,0.25,2.2314779299255925,0.5050067482126879,2.2312322553607693,0.5049170813430391,True,2.2281288490983853,0.5019932849283096,2.227883543414292,0.5019039393179513,True
cfg20_lb252_lag126_k1.0_mn0.25,SILVER,252,126,1.0,0.25,1.6865085744398833,0.3196455413792837,1.686659698183187,0.3196772758715409,False,1.6839777659182222,0.3178774125237177,1.6841286627489933,0.31790937005101605,False
cfg20_lb252_lag126_k1.0_mn0.25,BTC,252,126,1.0,0.25,9.853485158017879,1.0672503172142453,9.855679074865842,1.0673092354078406,False,9.838698266534903,1.0651902777139262,9.84088617851966,1.0652491717139174,False
cfg20_lb252_lag126_k1.0_mn0.25,OIL,252,126,1.0,0.25,1.180941519200226,0.22802801422597044,1.1798550873762443,0.22782375575083372,True,1.1791698189006514,0.22649467321347572,1.1780850183556857,0.2262905906561879,True
cfg21_lb252_lag126_k1.0_mn0.5,SP500,252,126,1.0,0.5,85.26308441626817,0.15304790364458964,85.27722344483453,0.1530965091120862,False,85.13506207974177,0.15228835533334875,85.14917987853534,0.15233705290993851,False
cfg21_lb252_lag126_k1.0_mn0.5,GOLD,252,126,1.0,0.5,2.2313102836403815,0.5049267468988132,2.2312322553607693,0.5049170813430391,True,2.2279614545343325,0.5019134666846555,2.227883543414292,0.5019039393179513,True
cfg21_lb252_lag126_k1.0_mn0.5,SILVER,252,126,1.0,0.5,1.6867924010315842,0.31969562263556917,1.686659698183187,0.3196772758715409,True,1.6842611663438691,0.31792763856636796,1.6841286627489933,0.31790937005101605,True
cfg21_lb252_lag126_k1.0_mn0.5,BTC,252,126,1.0,0.5,9.855184321773528,1.0673001424055,9.855679074865842,1.0673092354078406,False,9.8403921684601,1.0652400553605208,9.84088617851966,1.0652491717139174,False
cfg21_lb252_lag126_k1.0_mn0.5,OIL,252,126,1.0,0.5,1.1803309048663941,0.22789089385635003,1.1798550873762443,0.22782375575083372,True,1.17856012140516,0.22635762453473388,1.1780850183556857,0.2262905906561879,True
cfg22_lb252_lag126_k1.5_mn0.25,SP500,252,126,1.5,0.25,85.23433703169363,0.1529165163874821,85.27722344483453,0.1530965091120862,False,85.10635785940894,0.152156724923647,85.14917987853534,0.15233705290993851,False
