type,start,end
ease,2001-01-05,2001-12-14
hold,2001-12-14,2002-11-08
ease,2002-11-08,2002-11-08
hold,2002-11-08,2003-06-27
ease,2003-06-27,2003-06-27
hold,2003-06-27,2004-07-02
hike,2004-07-02,2006-06-30
hold,2006-06-30,2007-09-21
ease,2007-09-21,2008-12-19
hold,2008-12-19,2015-12-18
hike,2015-12-18,2015-12-18
hold,2015-12-18,2016-12-16
hike,2016-12-16,2018-12-21
hold,2018-12-21,2019-08-02
ease,2019-08-02,2020-03-20
hold,2020-03-20,2022-03-18
hike,2022-03-18,2023-07-28
hold,2023-07-28,2024-09-20
ease,2024-09-20,2024-12-20
hold,2024-12-20,2025-09-19
ease,2025-09-19,2025-12-12
hold,2025-12-12,2026-09-18
hike,2026-09-18,2026-09-25
