date,excess_return
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,-0.0001308277450191575
20,-0.00011961421573420949
21,4.024692453685752e-05
22,1.5734719595572598e-05
23,-3.3302790003419955e-05
24,-0.00011942554027961627
25,-9.123668949739816e-05
26,1.9994177624660382e-08
27,-3.916887059163265e-06
28,1.5731973025112644e-05
29,-7.4220547493730745e-06
30,-4.5614298448404256e-06
31,6.107529000010103e-06
32,7.183496672613643e-06
33,1.2813515628118388e-05
34,-1.3052263300594725e-05
35,1.2109809139904115e-06
36,3.631385108171514e-08
37,5.286725176856244e-06
38,1.5888786783224696e-05
39,6.96944209230832e-06
40,5.0927658383548294e-06
41,-3.130023409858573e-06
42,-4.920659497198443e-07
43,-2.720480727091967e-06
44,3.635569045457032e-06
45,9.398317141862123e-07
46,3.0872241632007302e-06
47,-2.100595777765335e-07
48,4.113529246874137e-06
49,9.657279536705588e-05
50,-4.989001151933792e-06
51,-2.7266423763716576e-06
52,2.2850051735412436e-06
53,8.50970046004651e-06
54,-1.8095191232125884e-05
55,-3.371944879404509e-06
56,-9.557781068036952e-06
57,1.1229792442035702e-05
58,5.141216827686535e-06
59,-7.370270211914942e-08
60,5.185811345698177e-06
61,-2.526377595939433e-05
62,1.1955015857201267e-05
63,1.6623327464659887e-05
64,-1.303725711565562e-06
65,-0.00013509018033486253
66,-2.1541864438923142e-07
67,-3.4256109145425206e-05
68,3.053195080486848e-05
69,-3.1609552142874977e-06
70,-1.3290310904778835e-05
71,9.76113287547431e-06
72,3.2305104023189203e-06
73,9.35306905878175e-06
74,-2.5582665763690393e-05
75,-5.078686538650957e-07
76,5.495863266236079e-06
77,-1.8791458881572965e-05
78,-4.944124921468785e-07
79,1.091783086160092e-09
80,-5.311227524451567e-09
81,-7.616056230119738e-10
82,4.6916660465523565e-07
83,-3.1216831994917984e-07
84,-6.416419335408819e-07
85,1.765866582581488e-06
86,6.895067400813914e-07
87,1.7510199384451753e-06
88,5.46277516555449e-09
89,-7.999486886900442e-07
90,-2.9211765422143543e-06
91,-1.0394668983604304e-05
92,6.387827012321879e-06
93,-1.2332838622164388e-05
94,-7.9608721703206e-06
95,-4.32724642858151e-06
96,4.166455929881519e-05
97,5.465021146944249e-05
98,4.1194752463780127e-05
99,-1.7295593171917644e-05
100,1.9279207184474956e-05
101,-1.9962824435615367e-05
102,-3.3600199381034203e-06
103,-2.190707460791863e-06
104,-4.273105357532892e-06
105,-1.670197167202847e-05
106,6.891133929842752e-06
107,-6.51443167432042e-07
108,-4.094415177169353e-06
109,1.989519955403196e-06
110,2.316162042292902e-06
111,1.2901736445192213e-06
112,4.077117532474972e-10
113,3.938169212958087e-09
114,6.809907304727858e-10
115,8.415831698194154e-09
116,1.8219149959808335e-07
117,-2.02150818318092e-06
