date,excess_return
1,-0.0012405553228237664
2,4.284941287857613e-05
3,-0.0008881882512257189
4,-0.00020995088475916912
5,-5.542835400227375e-05
6,-0.00015219345556560793
7,8.417765260260168e-05
8,0.0003106651502012392
9,-0.00011409722596178451
10,2.5377105150825585e-05
11,-6.056941111778347e-05
12,-2.1850685812441206e-05
13,3.663742806732095e-05
14,-3.0493591549540788e-05
15,0.00013225683436028922
16,1.7426343196880188e-05
17,-3.509709770810332e-07
18,3.07978225400074e-05
19,3.178114663358045e-05
20,-1.0479085633074981e-05
21,3.410222516035955e-05
22,0.0001431178341458006
23,1.7362307093393704e-05
24,5.036174777812707e-05
25,8.401343302510966e-06
26,-6.592013998460989e-05
27,-2.7122802988222006e-06
28,8.257773264475077e-05
29,-1.5202501287348014e-05
30,-1.426670070945324e-05
31,1.607116209429993e-05
32,1.7270935063895544e-05
33,3.990928443176056e-05
34,-2.9488517704789885e-05
35,5.487183170216348e-06
36,-5.55037534426539e-06
37,5.54917938357935e-06
38,4.496791446797488e-05
39,2.742836565039486e-05
40,1.2232667404132869e-05
41,-9.92871526090955e-06
42,-3.087959863767864e-06
43,-1.604308736216087e-05
44,1.6215953821818728e-05
45,1.6002807061044066e-06
46,1.4527321390089831e-05
47,-1.0790474957889096e-05
48,6.159151738160951e-06
49,1.4565805642074991e-06
50,-1.4988745137500814e-05
51,-1.2446755372863549e-05
52,4.506458450692641e-06
53,-1.5837847493194168e-05
54,-5.949134827263336e-05
55,-1.86570679500786e-05
56,-1.1885497214958463e-05
57,2.2677174876806205e-06
58,1.792119041175155e-05
59,1.1714786782390796e-05
60,-1.8609672890823604e-05
61,-8.59932556027676e-06
62,1.1055623096334343e-06
63,1.0345224338959014e-06
64,-9.41642609453286e-06
65,-1.0067489002807406e-05
66,-1.0513250647115058e-05
67,6.7136253706134855e-06
68,-1.6522410306918367e-05
69,-4.078617250158345e-07
70,-1.8790312919225726e-05
71,1.3795436001196038e-05
72,1.336643343119448e-07
73,5.00774229237333e-06
74,-1.6039276863910602e-05
75,-1.5270873035455602e-05
76,-9.3757256345528e-06
77,8.072106776713105e-06
78,-1.8758007623942417e-05
79,-1.1870791358514766e-05
80,3.7251280994299307e-06
81,-1.180251697707746e-07
82,-1.2292722925222322e-05
83,-8.095983391220863e-06
84,-6.606122509245082e-07
85,1.5655585924001515e-05
86,-5.603246103058623e-06
87,1.0020498517304688e-05
88,-4.490025645487173e-06
89,2.0739825443150117e-05
90,-1.0842153314971625e-05
91,-1.2583457506676332e-05
92,1.2429568966743076e-06
93,9.698315069739393e-06
94,-6.538068057704294e-06
95,3.840082956063639e-08
96,-2.3479661534375753e-06
97,-7.694124044510531e-06
98,1.1376184581401993e-05
99,1.845220852110252e-05
100,6.216321367991107e-06
101,2.1845574828205373e-06
102,1.6451806015727044e-06
103,4.42145860763965e-06
104,-4.14046768379972e-06
105,-2.078197844324059e-06
106,2.849168390328671e-07
107,2.793774256981685e-06
108,-3.3360330245368887e-06
109,4.5113317525213855e-06
110,1.27841990239963e-05
111,3.5754833530132755e-06
112,-7.12798182034291e-06
113,-1.5906599958270818e-05
114,-2.962940802708758e-06
115,-8.20232782532404e-06
116,3.552958766017689e-06
117,-4.9493719201709755e-06
118,-1.0261772234620991e-06
119,-2.173091399315652e-06
120,-9.68618355245976e-06
121,-2.8865737479621957e-06
122,-1.8661033141631478e-06
123,2.5613033264781927e-05
124,1.48169809147225e-05
125,-6.6701434190630234e-06
126,4.425752994063892e-06
127,-7.578319624790275e-06
128,1.0606805781354645e-05
129,1.365246397577735e-06
130,-1.8350630281993574e-07
131,-1.5124637789099004e-05
132,3.5561577052645175e-06
133,1.2483873079971452e-05
134,2.3382394917548232e-05
135,-2.8819416993730584e-06
136,-1.029282108009344e-05
137,-6.7556814563829445e-06
138,-2.2073061397964722e-05
139,5.166603777340129e-06
140,-4.3660043373972e-06
141,-6.982433078039918e-06
142,-6.0144797384920064e-06
143,9.459669025169149e-06
144,-4.67220844495575e-06
145,8.668016635793308e-06
146,-4.553308223576025e-07
147,4.54972553323163e-06
148,-8.591812100333662e-06
149,2.3145735308593985e-06
150,-4.831055493670355e-06
151,-4.990914741753727e-06
152,-5.1574936515308424e-06
153,3.3904468934142782e-06
154,1.0631273461658708e-05
