date,excess_return
1,-0.0012405553228237664
2,9.169345577078047e-05
3,-0.0015747951610542543
4,-0.0006491405093624226
5,-5.492458787093035e-05
6,-0.00026564195173441887
7,-0.00014080235467583968
8,0.0002462148699160727
9,-0.00010624463435118247
10,-0.00010951606135294334
11,-7.215344141684455e-05
12,0.00011615749684816823
13,9.674268218624604e-05
14,-0.0001617043098895099
15,0.00018212559605725875
16,-0.00019918051475922293
17,1.020551352182153e-06
18,-9.56063512729699e-05
19,-0.00017759031693767024
20,-6.538059630689652e-05
21,0.00011130720152803253
22,0.00016127097232614406
23,6.67923257243741e-05
24,-5.848649708857234e-05
25,-8.506768751328497e-05
26,-5.5233572972901436e-05
27,5.9533406558420766e-05
28,3.2554787509986306e-05
29,2.302055973348871e-05
30,0.00010245000337063547
31,-1.3641326986157942e-05
32,-2.8932171198658985e-05
33,6.010528995337161e-05
34,-5.8353951127188e-05
35,2.8731600824571935e-05
36,2.490481675174738e-05
37,9.195876742993381e-05
38,2.6106185466723275e-06
39,9.269394126598662e-06
40,-7.0700692693215215e-06
41,-4.106689628733395e-05
42,-8.459628923729312e-06
43,1.3545949868576379e-05
44,-1.6357509894016074e-05
45,3.253513187282397e-05
46,3.216539167567589e-05
47,-2.1965918374666772e-06
48,7.731859402793085e-06
49,0.00013215261817387525
50,-6.62911472883998e-05
51,3.6497163236060004e-07
52,-9.024070753382852e-06
53,2.3280446648454856e-05
54,-8.413145117325271e-05
55,-0.0001037039708717824
56,-3.541242556732715e-05
57,3.5953813892564136e-05
58,8.818400974597295e-06
59,-7.789580943386997e-05
60,-5.323006713231493e-06
61,-6.443094333863364e-05
62,1.7325489407027383e-05
63,1.837291941813035e-05
64,-7.721613147837481e-06
65,-0.00015934501232983678
66,-5.986170293748039e-06
67,-3.554885192551538e-05
68,2.162500640656706e-05
69,-3.0529343111762587e-06
70,-6.810097267897496e-05
71,2.8718365967494995e-05
72,6.095349737966771e-06
73,3.3006782690092604e-05
74,-6.994080691979931e-05
75,-1.028481562870276e-05
76,5.020505683051013e-06
77,-3.4534635675709247e-05
78,-6.8599980648009765e-06
79,9.729734648145084e-06
80,3.723714816139534e-06
81,-1.3648906495822288e-05
82,-2.9596049116964452e-05
83,1.4098236194914903e-06
84,-7.812559486941594e-06
85,1.2394326102782571e-05
86,-1.4132803958011309e-05
87,9.401706891520867e-06
88,-1.581711737821401e-05
89,2.431210405944295e-05
90,-2.3924799311059174e-05
91,3.088109552518148e-07
92,1.64782768816929e-05
93,2.048855916880754e-06
94,8.164021711132285e-06
95,4.5741230376927785e-06
96,2.9969363842119455e-05
97,3.7488674760410846e-05
98,5.976959437881124e-05
99,8.421740774977593e-06
100,3.094678432717935e-05
101,-2.676346416137232e-05
102,-6.491005939079919e-06
103,-2.325399916758286e-05
104,-1.1304020109514923e-05
105,-2.4897569409398913e-05
106,1.344910333764826e-05
107,-6.758320304878218e-06
108,4.615315371014894e-06
109,9.032517509055538e-07
110,6.3895382012901795e-06
111,9.310362407344286e-06
112,-1.751369707596595e-05
113,-6.410015564251026e-06
114,-8.300350218126696e-06
115,-7.748025307030559e-06
116,4.409249324988096e-07
117,-2.0639069122707632e-05
118,-1.4266479004287902e-05
119,-1.0242641561530875e-05
120,-6.314135927354414e-06
121,-1.606433900696036e-05
122,-1.4347436886019693e-05
123,1.5152549715513608e-05
124,9.546748856736898e-06
125,-2.3416908314199958e-05
126,4.350248086470998e-06
127,-4.343570248432904e-06
128,4.944298460429764e-07
129,1.0499916816009147e-06
130,1.507334794375037e-05
131,-1.2608152618698299e-05
132,-1.1048213521869243e-05
133,1.33487257975462e-05
134,1.6887967134970873e-05
135,-1.5076603506103403e-05
136,-1.1853899255664934e-05
137,2.0434925869228238e-06
138,-2.8487466568982712e-05
139,-2.6967759263030187e-06
140,1.1451490837055544e-05
141,-1.5257967067783263e-05
142,-6.576364272214974e-06
143,8.214704605302714e-06
144,6.813656760806808e-07
145,-1.9928472676511433e-06
146,-9.260650908538004e-06
147,1.2036779079593884e-05
148,-1.8642243850863772e-05
149,6.232899866609465e-06
150,-1.3928478406444178e-05
151,-1.0333019598673942e-05
152,7.641468457553203e-07
153,-1.902776439943743e-06
154,1.0439845523069202e-05
155,2.064537879491457e-05
156,1.5114709367214373e-06
157,-2.1930699096950335e-06
158,1.67477044008546e-06
159,5.663989227033816e-06
160,-3.2379217699496366e-06
161,3.555731840609866e-06
162,-8.979128279040793e-06
163,-4.142939086015929e-06
164,2.4622035600829763e-06
165,7.697513755133834e-06
166,-1.813194217037406e-06
167,3.046273526163823e-06
168,-6.015658104985278e-07
169,3.7477117291295768e-06
170,4.483955779877036e-06
171,5.911570307581826e-06
172,-1.4828033969527255e-05
173,1.4593434783494175e-06
174,6.950093088731179e-06
175,-1.3056685665979728e-06
176,-1.6078119997597895e-06
177,2.478499561742176e-06
178,-1.080265048896134e-05
179,8.897847265831871e-06
180,-1.043475606214983e-05
181,-3.110806483475059e-06
182,-2.493642386847128e-06
183,-1.895934177720271e-06
184,8.715673178483208e-06
185,2.8104543091878043e-06
186,-9.325805825621813e-06
187,2.977733721309939e-06
188,4.8171309272371236e-06
189,-1.647263930815157e-07
190,3.90202825000241e-06
191,-6.450010425762542e-08
192,-4.140812354935797e-06
193,-5.052799989013757e-06
194,1.5986725215522135e-05
195,-5.881407003394124e-06
196,1.75374337670009e-05
197,-7.176309741177e-05
198,6.617369618266977e-06
199,-1.725216332288948e-05
200,1.4198898748452038e-05
201,-6.816306856594068e-06
202,7.797359205818922e-06
203,-2.8114985295202287e-06
204,-9.266305139266074e-06
205,7.4361950031187615e-06
206,1.288884833174908e-05
207,-1.2883638336336211e-05
208,-2.4592599483730383e-06
209,-1.5513807273559444e-05
210,1.5527084894606524e-05
211,3.91489235176401e-06
212,-5.953784834189513e-06
213,-1.7591254958682077e-05
214,2.1060393837313283e-06
215,1.3226809477662194e-05
216,-2.678086504048771e-05
217,-8.526980619527613e-06
218,7.3330933359816445e-06
219,-2.942490031720979e-06
220,1.889468312121778e-06
221,2.695507232286509e-06
222,-4.8010091562078475e-06
223,2.455648740486982e-05
224,-3.5644329651862703e-06
225,8.19376506926428e-06
226,-7.55116217414642e-06
227,2.697297090474837e-05
228,-5.81510846484612e-06
229,3.432362844768555e-06
230,3.0244565291570603e-05
231,1.2325760487219562e-05
232,2.542684135407036e-05
233,-1.8175008787912893e-05
234,1.4581144682956904e-05
235,-7.754392008463285e-06
236,-1.9471364266387958e-05
237,-3.4869670528792085e-07
238,7.472148306408855e-06
239,8.308589817729306e-06
240,2.4232225913189964e-05
241,4.205203418039538e-06
242,-1.9961352870145888e-05
243,-2.3771396877947383e-05
244,9.756987166520404e-06
245,-2.020162797902181e-05
246,9.753782212262862e-06
247,-1.8474705523474633e-05
248,-7.595175082752981e-06
249,8.750489577158405e-07
250,-2.863334420470931e-05
251,-1.1702770326582623e-05
252,5.053761590345651e-06
253,1.0964847683059275e-05
254,1.7490731355818134e-05
255,-4.4925036153387054e-07
256,4.496439274026542e-06
257,1.5152256149786325e-07
258,-2.2292231809450947e-05
259,-1.4536155988897903e-06
260,1.0017740899215256e-05
261,1.50317580005499e-06
262,-1.6370776266394495e-05
263,-7.622862157652399e-06
264,-2.2104632915187495e-07
265,-3.101541214567405e-06
266,-5.844551506761775e-07
267,-2.533173025409674e-06
268,3.4744008645448687e-06
269,-2.6231726228953535e-07
270,-5.015951577314048e-06
271,-5.057481151982124e-06
272,1.8202929079058627e-05
273,-8.003993925731479e-06
274,-2.1545461585059656e-06
275,1.9236127831501192e-06
276,-5.578890633550771e-06
277,7.621659989631713e-06
278,-1.8705314606126677e-06
279,-5.287868370840165e-06
280,-1.2860525632735209e-05
281,-5.081744372553709e-06
282,-2.4803481537549743e-06
283,-2.0898698034899077e-06
284,1.1033712033037268e-05
285,8.42905699172114e-06
286,-1.7769794715127851e-06
287,1.3365998549619285e-06
288,7.79228241931662e-06
289,-5.002126559849884e-06
290,3.6336280517801356e-06
291,-2.349228565734496e-06
292,-1.116227940717307e-05
293,-8.77240978613969e-06
294,-1.0451210329276428e-05
295,-4.235380758554896e-06
296,-4.46450043323221e-08
297,7.304250268236334e-07
298,3.21714201473311e-07
299,1.6525119671539912e-06
300,6.236980131246739e-07
301,3.493930528952749e-06
302,1.3467453300053389e-05
303,-9.470277877871025e-06
304,3.109986568994305e-06
305,-1.392938601446625e-05
306,3.370329570928643e-06
307,1.6994895758098982e-05
308,2.1025154459952677e-06
309,-1.1477337945320354e-05
310,-2.3413442315489696e-07
311,-9.239910409297725e-07
312,-4.658460975359713e-06
313,1.7123820295616987e-06
314,-3.0349910530025337e-06
315,4.657251431894327e-06
316,-2.4695937625440756e-06
317,-4.302569917985499e-06
318,4.197716660825357e-06
319,4.496266795883663e-06
320,-6.504146113917031e-07
321,-5.392050954594607e-06
322,4.504503900798484e-06
323,5.072521389454243e-06
324,-4.5993044285874696e-06
325,4.586956340785209e-06
326,-3.1322105822906288e-06
327,-3.860883097228651e-06
328,-1.7511111896628684e-06
329,4.755154564745068e-06
330,8.218529165548993e-07
331,-1.6436381634621355e-06
332,-4.096487936505744e-06
333,2.5170395210605268e-06
334,1.9864079426890058e-06
335,-8.292167249790428e-06
336,1.220031307924696e-06
337,3.3122283837616617e-06
338,-2.251777027950652e-06
339,7.654188695638275e-07
340,-2.6315966535905844e-06
341,3.499743443130532e-06
342,2.4182359377733498e-06
343,9.720376355493165e-07
344,-1.8144040998535615e-06
345,8.009709326628478e-07
346,-3.1355274769107044e-06
347,2.340849732551664e-06
348,-5.674902095798018e-06
349,1.4163161610458719e-06
350,-2.187904430489551e-06
351,-7.857588480736366e-06
352,-2.34241948982028e-06
353,5.195228861165635e-06
354,-3.943497428104958e-06
355,-5.575717041961248e-07
356,2.199210602071844e-06
357,-5.815872689385326e-06
358,-7.445402182559846e-07
359,1.1069744389469172e-06
360,6.920982987546065e-07
361,-2.638093184154089e-06
362,4.687575892670104e-06
363,4.964413054781014e-06
364,3.1108583173899973e-06
365,1.2596746986059948e-06
366,9.077424594494676e-07
367,3.5180372222609613e-06
368,-1.918577294146573e-06
369,1.000716597920892e-06
370,5.399633123681635e-06
371,3.284305323814074e-07
372,5.967035622445049e-06
373,6.574069933706905e-07
374,1.0621388720627456e-05
375,1.54325690160384e-06
376,-2.6153983704035877e-06
377,2.497004848722728e-07
378,2.351993289712029e-06
379,-4.963007442931877e-06
380,2.0738848892115636e-05
381,-2.876027094367295e-06
382,2.384338108951667e-06
383,-1.582504844721555e-06
384,-2.5981388396822958e-06
385,1.8380803636086629e-06
386,-3.1411924841795447e-07
387,-7.240098491123614e-06
388,-1.1934508602207128e-06
389,-2.421845051392424e-06
390,-2.5610258047037426e-06
391,-4.391619979504657e-06
392,-7.011791550715074e-07
393,8.096611271157794e-07
394,-1.2202468624711305e-06
395,2.3068609956156116e-06
396,6.178290546277054e-06
397,1.2257195858011993e-06
398,-2.665788760181087e-06
399,2.8913261786445155e-06
400,-2.743023511414533e-06
401,-3.0199960116827906e-06
402,-2.646403050338142e-06
403,-1.9039946050902756e-06
404,4.119502815341791e-06
405,2.2314457586991576e-06
406,2.30270604492655e-06
407,-2.7254318326619398e-06
408,2.0921514813920794e-06
409,-4.205720906536037e-06
410,1.4910972284676305e-07
411,-2.841151923504981e-06
412,6.731252944480737e-07
413,-3.1247348041552048e-06
414,4.014064525215133e-06
415,8.254063343843265e-06
416,-1.19721308841636e-06
417,-2.6006796643995855e-06
418,3.109841355902754e-06
