date,excess_return
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,-1.65350241215112e-05
92,9.691975243875107e-06
93,-2.4383370753211508e-05
94,-1.2608645125489205e-05
95,1.7202651920733557e-07
96,4.981651834468082e-06
97,5.061666748340521e-06
98,1.4932286291835516e-05
99,1.523727392993557e-06
100,3.319362535103565e-06
101,-5.0804000781612405e-06
102,-3.729105522154441e-08
103,2.1406740271512348e-06
104,-8.727073310677014e-07
105,5.202181127428318e-07
106,-3.345208889848905e-06
107,-6.69370147088344e-07
108,-8.400847962164448e-07
109,7.677336527844858e-07
110,9.407635563896122e-07
111,-1.164441432166541e-10
112,4.607135432221909e-06
113,-4.2117354421833396e-07
114,-4.4663428511171335e-11
115,-5.67646818439016e-11
116,1.1252084456403466e-06
117,-3.8567105065112625e-11
118,-2.7633964356788e-07
119,-7.355181727675131e-07
120,-1.6868206561770905e-06
121,-9.026663860822736e-11
122,-3.7603120617291096e-11
123,-5.654512413855173e-11
124,-5.742855080370646e-11
125,-5.2774162817570416e-11
126,-2.0174262260752585e-11
127,-5.13229014842409e-11
128,5.519495971384458e-12
129,-1.559528233219254e-08
130,-5.451035209880217e-07
131,-3.7984815293157225e-11
132,-2.1648345338576292e-10
133,-4.704108214070857e-11
134,2.119182953252974e-06
135,-6.496419266266429e-06
136,-1.4549799143281915e-10
137,5.440957462354845e-10
138,2.698517853616522e-10
139,7.730811546480254e-11
140,-9.272804746274233e-13
141,-9.027645297976505e-11
142,6.132538921121977e-11
143,-2.6145396958554555e-11
144,-1.495946816243432e-06
145,1.8377492138954565e-06
146,-1.5173366765264263e-07
147,2.3148412326312597e-06
148,6.372217420391735e-10
149,-4.815845500161231e-11
150,-7.688750031320523e-07
151,-2.094560080934116e-11
152,1.524875115066493e-10
153,8.788751948429763e-11
154,5.180171847030124e-11
155,-7.55311369005085e-12
156,-6.468779274904079e-07
157,-8.255551044134002e-06
