date,excess_return
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-6.843671220524427e-06
41,3.1613422990517395e-11
42,8.628716296144034e-06
43,7.220205613807096e-05
44,1.1531973598266632e-09
45,-1.1919794616455093e-06
46,2.5615310095261633e-09
47,4.022833999250963e-09
48,8.170321623257593e-07
49,0.00021099501807704258
50,-1.1663831524177937e-05
51,7.183772969154844e-07
52,9.866254666146546e-07
53,3.262209003995764e-05
54,-4.135996437635292e-05
55,-7.623320018801394e-06
56,2.674414494796551e-06
57,-6.512250749102222e-06
58,-4.92933394089512e-06
59,-4.174249485884296e-05
60,5.972168692913726e-09
61,-2.985530850341256e-05
62,1.4747742143494946e-06
63,-6.118016213196853e-07
64,-1.6970183929210236e-06
65,-2.2554423122844726e-05
66,8.982551173630782e-06
67,1.1994286662098119e-06
68,-2.749290892323231e-06
69,6.592349409029196e-07
70,-1.0655196959064029e-05
71,3.8035069914510443e-06
72,2.7509703404149377e-09
73,2.5541540157991703e-06
74,4.859318916938804e-06
75,1.2597915599599218e-09
76,7.04846336851972e-10
77,1.0516387316528153e-09
78,1.1836658320163451e-09
79,1.678789995906982e-10
80,4.051646351754812e-10
81,1.6146441961240043e-09
82,1.4323307429009447e-09
83,1.2711180108482266e-09
84,1.5989007895456098e-09
85,8.316114019635279e-10
86,1.788966752513943e-10
87,2.746316319246489e-07
88,9.057431249459569e-10
89,3.369536827335651e-09
90,2.1715398368371552e-10
91,-1.907068942883505e-05
92,1.1889923784225153e-05
93,-2.379173661202216e-05
94,-1.698879539446807e-06
95,-1.1463989757487525e-10
96,4.373292172843435e-10
97,2.7567612637113823e-10
98,8.294483884396797e-07
99,3.4682026139876145e-10
100,1.0011408577259573e-06
101,3.3618015038427985e-10
102,4.5941592752285485e-10
103,4.999642033709506e-10
104,-6.918533918209846e-07
105,3.346141441040729e-07
106,-1.247459385700367e-06
107,-2.730444870202575e-07
108,-5.810041185050352e-07
109,1.2697741602174518e-06
110,3.2546694228585694e-10
111,5.899418684673918e-07
112,4.386246038956542e-06
113,-1.4158086038218443e-06
114,3.291550143558197e-10
115,4.18337897656329e-10
116,4.381046052892579e-06
117,3.551140270730002e-10
118,-3.4164513382783925e-07
119,4.181139878767226e-10
120,-1.300563966188939e-06
121,5.765527832934936e-10
122,-1.6143900818388346e-06
123,3.526456904268116e-10
124,3.5815559407126327e-10
125,3.291287020701361e-10
126,1.2581793384924822e-10
127,3.200783638135363e-10
128,-3.4422686923107904e-11
129,1.6280525816370072e-10
130,1.5398478048211929e-10
