date,excess_return
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,-1.2024376976560448e-06
79,3.361594402839785e-08
80,-4.813527354485814e-12
81,-1.918238901055247e-11
82,-1.701643270735076e-11
83,-1.5101120354188423e-11
84,-1.8995160999679685e-11
85,1.529860413107542e-06
86,7.786216116301148e-13
87,3.0215607793593335e-12
88,-5.391812740729307e-07
89,-3.0977168591128645e-06
90,-6.9391159485121534e-12
91,-1.632325878233587e-05
92,1.161951219641466e-05
93,-2.302877835980155e-05
94,-5.171022891703459e-06
95,3.4884455502037784e-08
96,1.996427292505487e-06
97,1.3456335796524498e-06
98,3.555077470540624e-06
99,6.589963904568563e-07
100,1.5016534052669782e-06
101,-3.6695279957754678e-06
102,-1.684077193253586e-08
103,3.226470245420998e-07
104,-1.765740442749575e-10
105,1.6504581132892326e-07
106,-1.1545648881394754e-10
107,-2.6880149663455198e-06
108,4.60956328212081e-06
109,4.9265724832991965e-11
110,-1.9267458739591347e-10
111,-1.6127363888784885e-10
112,2.1756884067469783e-06
113,-8.172346370294293e-07
114,-3.288036626081237e-07
115,-5.214382343243785e-07
116,1.2042011767521287e-06
117,-1.6308030728051648e-07
118,1.346303978522201e-07
119,-1.251948322789076e-10
120,1.1986791559337461e-10
121,8.547806906733513e-12
122,-1.7380514342857368e-06
123,5.704961648622664e-06
124,3.2224267609626266e-06
125,-1.427212429416791e-06
126,5.501511065153509e-07
127,-7.825387983007027e-06
128,-3.0967419864635913e-06
129,-6.307425015616985e-07
130,-1.3898347227980778e-06
131,-4.413745878095732e-06
132,-1.5129937151425744e-05
133,-7.793823903257113e-06
134,-9.844702786310221e-09
135,-1.1405626950899973e-06
136,-8.31275435313472e-06
137,-1.2183383491159994e-05
138,-4.26403490081384e-06
139,9.349826425530949e-07
140,-2.964202165012253e-06
141,-2.342613214523226e-10
142,-2.588441461170987e-10
143,2.898678584695169e-06
144,-1.1223538316507131e-06
145,2.232092785114936e-06
146,-3.033904302673918e-07
147,1.746126979051965e-06
148,-2.0152758945979345e-05
149,-5.146839573644257e-07
